date,competitor,metric,size,rack_rate,offer_rate,per,promo,source
"2026-08-14","Shurgard Basildon","unit","","","45.23","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","22.62","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","33.23","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","16.62","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","24","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","12.23","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","15.69","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","8.08","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","16.62","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","8.31","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","11.77","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Shurgard Basildon","unit","","","7.15","week","","https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon"
"2026-08-14","Big Top (own)","unit","","","117","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","27","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","143","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","33","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","178","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","41.08","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","234","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","54","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","260","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","60","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","286","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","66.01","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","325","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","75.01","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","390","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","90.01","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","468","mo","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","108.01","week","","https://www.bigtopselfstorage.com/reserve"
"2026-08-14","Big Top (own)","unit","","","35","month","STUDENTS Free moving box on us Student summer storage from £35/month - plus a free moving box when you book online","https://www.bigtopselfstorage.com/pricing"
